"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"ASML Holding NV ADR","ASML.O","NASDAQ","757.85","-","-","758.15","0.04%","762.07","764.03","763.02","757.81","-6.18","-0.81%","450,175","Jan 24, 2024","16:00:01","299,360,000,000","26,750,000,000","937,146","19.34","35.49","1.17","5.4845","0.72%","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.81%","0.34%","10.22%","38.70%","37.42%","56.58%"
"ICON PLC","ICLR.O","NASDAQ","285.76","114.35","300.00","285.76","--","284.10","284.17","287.43","283.43","+1.59","+0.56%","482,003","Feb 21, 2024","16:00:01","23,530,000,000","8,020,000,000","523,159","6.27","45.56","1.11","-","-","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.56%","1.11%","7.03%","47.11%","43.98%","47.68%"
"Linde PLC","LIN","NYSE","409.77","-","-","409.62","-0.04%","410.53","411.21","410.89","409.20","-1.44","-0.35%","798,278","Feb 07, 2024","16:00:01","198,690,000,000","32,450,000,000","1,361,925","12.20","33.61","0.894","5.1","1.24%","Strong Sell","Strong Sell","Strong Sell","Sell","Buy","Buy","Strong Buy","Strong Buy","-0.35%","0.15%","-0.39%","25.63%","24.27%","57.96%"
"Waste Connections Inc","WCN","NYSE","148.82","146.00","156.26","148.82","--","148.44","147.98","148.96","147.72","+0.84","+0.57%","482,095","Feb 14, 2024","15:59:59","38,340,000,000","7,860,000,000","1,144,835","3.23","46.02","0.664","1.14","0.77%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.57%","1.03%","12.20%","12.27%","11.47%","46.65%"
"STERIS plc","STE","NYSE","221.56","222.01","230.00","222.09","0.24%","223.81","223.34","224.70","221.17","-1.78","-0.80%","233,514","Feb 08, 2024","16:00:00","21,890,000,000","5,230,000,000","442,883","5.55","39.90","0.864","2.08","0.93%","Strong Sell","Strong Sell","Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.80%","1.43%","12.22%","19.96%","18.99%","19.38%"
"Mettler-Toledo International Inc","MTD","NYSE","1,225.62","1,100.00","1,500.00","1,227.47","0.15%","1,230.05","1,222.96","1,230.73","1,223.47","+2.66","+0.22%","65,120","Feb 08, 2024","16:00:00","26,580,000,000","3,910,000,000","173,819","39.53","31.01","1.16","-","-","Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral","0.22%","1.37%","12.19%","-15.21%","-16.46%","7.70%"
"Arch Capital Group Ltd","ACGL.O","NASDAQ","74.06","73.05","75.00","74.06","--","73.72","73.54","74.27","73.51","+0.52","+0.71%","1,307,148","Feb 12, 2024","16:00:00","27,480,000,000","12,730,000,000","1,974,401","7.96","9.32","0.681","-","-","Sell","Strong Buy","Strong Buy","Strong Buy","Sell","Strong Sell","Strong Sell","Strong Buy","0.71%","-0.13%","-10.10%","17.97%","17.35%","109.80%"
"Accenture plc","ACN","NYSE","351.53","-","-","351.70","0.05%","354.28","353.82","354.41","351.27","-2.29","-0.65%","1,274,740","Mar 21, 2024","","220,410,000,000","64,590,000,000","1,946,652","10.92","32.25","-","5.16","1.46%","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.65%","0.80%","5.46%","31.74%","30.98%","36.38%"
"ResMed Inc","RMD","NYSE","172.99","-","-","170.00","-1.73%","178.07","172.98","179.43","172.53","+0.01","+0.01%","604,368","Jan 25, 2024","16:00:00","25,440,000,000","4,380,000,000","1,271,735","6.17","27.99","-","1.92","1.11%","Sell","Buy","Strong Buy","Buy","Strong Buy","Strong Buy","Buy","Sell","0.01%","-1.04%","8.90%","-16.88%","-17.38%","-18.12%"
"Microsoft Corporation","MSFT.O","NASDAQ","375.28","-","-","375.72","0.12%","375.37","374.07","376.46","374.16","+1.21","+0.32%","14,176,495","Jan 31, 2024","15:59:59","2.79T","218,310,000,000","25,528,573","10.36","36.29","0.897","3","0.8%","Strong Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.32%","0.47%","-0.94%","56.48%","55.71%","67.42%"
"EPAM Systems Inc","EPAM.K","NYSE","298.79","-","-","295.18","-1.21%","300.52","300.51","302.85","298.79","-1.72","-0.57%","226,702","Feb 15, 2024","15:59:59","17,250,000,000","4,760,000,000","426,067","8.21","36.52","1.47","-","-","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Neutral","-0.57%","1.53%","14.05%","-8.83%","-9.66%","-15.06%"
"Amazon.com Inc","AMZN.O","NASDAQ","153.38","-","-","153.35","-0.02%","153.72","153.34","154.08","152.95","+0.04","+0.03%","26,731,970","Feb 01, 2024","15:59:59","1.59T","554,030,000,000","49,942,903","1.96","78.36","1.18","-","-","Strong Sell","Strong Sell","Neutral","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","0.03%","-0.30%","4.83%","82.60%","82.20%","-7.66%"
"Datadog Inc","DDOG.O","NASDAQ","123.28","122.82","123.68","123.40","0.10%","124.00","123.60","124.48","122.82","-0.32","-0.26%","1,387,931","Feb 15, 2024","16:00:00","40,500,000,000","2,010,000,000","4,219,606","-0.107","-1.15K","1.01","-","-","Strong Buy","Neutral","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.26%","0.65%","5.68%","67.73%","66.73%","24.63%"
"Stryker Corporation","SYK","NYSE","299.13","284.20","305.00","299.12","--","297.23","298.21","301.37","295.94","+0.92","+0.31%","641,077","Jan 24, 2024","","113,650,000,000","19,890,000,000","1,547,232","6.82","44.16","-","3.2","1.07%","Strong Sell","Strong Sell","Buy","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.31%","1.05%","1.62%","22.35%","21.85%","24.20%"
"Visa Inc Class A","V","NYSE","260.32","-","-","260.40","0.03%","258.61","258.93","260.97","258.54","+1.39","+0.54%","2,361,884","Feb 01, 2024","","523,240,000,000","32,650,000,000","5,824,593","8.30","31.39","0.947","2.08","0.8%","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.54%","0.30%","2.40%","25.30%","25.12%","21.43%"
"UnitedHealth Group Incorporated","UNH","NYSE","525.00","-","-","525.36","0.07%","523.44","522.79","527.87","522.94","+2.21","+0.42%","1,460,557","Jan 12, 2024","16:00:00","485,590,000,000","359,980,000,000","2,819,712","23.29","22.62","0.637","7.52","1.44%","Strong Sell","Strong Sell","Sell","Neutral","Buy","Neutral","Buy","Strong Buy","0.42%","0.98%","-1.87%","-0.98%","-0.92%","51.14%"
"Entegris Inc","ENTG.O","NASDAQ","121.43","118.63","124.68","121.43","--","121.69","121.60","121.97","120.60","-0.17","-0.14%","829,236","Feb 06, 2024","","18,230,000,000","3,660,000,000","1,308,311","1.34","90.70","1.29","0.4","0.33%","Strong Sell","Neutral","Strong Buy","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.14%","1.50%","16.19%","85.13%","85.56%","28.67%"
"Arthur J Gallagher & Co","AJG","NYSE","223.46","220.66","226.63","223.46","--","223.81","223.01","224.45","223.15","+0.45","+0.20%","625,424","Jan 25, 2024","15:59:59","48,250,000,000","9,210,000,000","895,252","5.32","42.11","0.70","2.2","0.99%","Strong Sell","Sell","Neutral","Neutral","Sell","Strong Sell","Sell","Strong Buy","0.20%","0.27%","-8.80%","18.52%","17.51%","83.87%"
"Novo Nordisk A/S","NVO","NYSE","103.47","-","-","103.21","-0.25%","104.55","103.68","104.99","103.47","-0.21","-0.20%","2,339,167","Jan 31, 2024","15:59:59","462,860,000,000","214,490,000,000","4,494,593","16.76","41.85","0.201","1.4716","0.71%","Strong Sell","Strong Sell","Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.20%","-0.01%","1.44%","52.90%","53.06%","193.20%"
