Configuration,Language,File Path,Successfully Extracted,Failure Reason
/language:javascript-typescript,TypeScript,packages/core/src/shared/treeview/nodes/awsTreeNodeBase.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/amazonq/webview/ui/apps/scanChatConnector.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/testInteg/codelens.js.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/codewhispererChat/app.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/feedback/vue/index.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/ui/common/regionSubmenu.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/applicationcomposer/messageHandlers/initMessageHandler.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/amazonqFeatureDev/util/telemetryHelper.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/awsService/ec2/utils.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/treeview/nodes/awsCommandTreeNode.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/eventSchemas/templates/schemasExamples.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/sam/cli/samCliLocalInvoke.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/utilities/vscodeUtils.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/docdb/wizards/regionalClusterWizard.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/credentials/sso/model.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/amazonq/test/e2e/amazonq/testGen.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/amazonq/webview/ui/texts/constants.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/resourceFetcher/httpResourceFetcher.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/utilities/zipStream.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/telemetry/spans.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/applicationcomposer/messageHandlers/emitTelemetryMessageHandler.ts,true,""
/language:javascript-typescript,TypeScript,packages/amazonq/test/e2e/amazonq/template.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/awsService/apprunner/explorer/apprunnerServiceNode.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/ui/testUtils.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/cdk/explorer/awsCdkExplorer.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsExplorer/childNodeCache.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/amazonq/src/app/amazonqScan/app.ts,true,""
/language:javascript-typescript,TypeScript,packages/amazonq/test/unit/codewhisperer/util/authUtil.test.ts,true,""
/language:javascript-typescript,TypeScript,plugins/eslint-plugin-aws-toolkits/test/rules/no-banned-usages.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/stepFunctions/vue/executeStateMachine/index.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/clients/ssmClient.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/codewhisperer/service/securityIssueCodeActionProvider.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/utilities/index.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/applicationcomposer/utils.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/awsService/iot/commands/setDefaultPolicy.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/amazonqScan/controller.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/auth/wizards/sso.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/utilities/tsUtils.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/clients/codecatalystClient.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/lambda/vue/samInvoke.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/shared/ui/sam/bucketPrompter.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/iot/commands/deletePolicyVersion.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/indexNode.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/fakeExtensionContext.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/lambda/vue/remoteInvoke/remoteInvoke.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/ecr/commands/createRepository.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/iot/commands/deletePolicy.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/credentials/sso/cache.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/ssmDocument/commands/openDocumentItem.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/awsService/cloudWatchLogs/commands/tailLogGroup.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/stepFunctions/commands/createStateMachineFromTemplate.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/credentials/credentialsProfileMru.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/clients/iotClient.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/webviews/client.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/webviews/server.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/eventSchemas/commands/downloadSchemaItemCode.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/codewhisperer/service/codeFixHandler.ts,true,""
/language:javascript-typescript,TypeScript,plugins/eslint-plugin-aws-toolkits/test/rules/no-await-on-vscode-msg.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/lambda/commands/copyLambdaUrl.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/notifications/types.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/utilities/textUtilities.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/sam/localLambdaRunner.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/fake/fakeTelemetryService.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/codewhisperer/util/securityScanLanguageContext.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/codewhisperer/util/importAdderUtil.ts,true,""
/language:javascript-typescript,TypeScript,scripts/generateNonCodeFiles.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/awsexplorer/commands/copyText.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/shared/ui/sam/stackPrompter.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/amazonq/commons/types.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/ec2/model.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/docdb/explorer/docdbContext.ts,true,""
/language:javascript-typescript,TypeScript,packages/amazonq/test/unit/codewhisperer/commands/onInlineAcceptance.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/testE2E/util/connection.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/awsService/cloudWatchLogs/cloudWatchLogsUtils.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/codewhispererChat/storages/chatSession.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/testInteg/perf/prepareRepoData.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/ecs/wizards/executeCommand.test.ts,true,""
/language:javascript-typescript,TypeScript,packages/core/src/test/awsService/iot/explorer/iotCertificateNode.test.ts,true,""
